"Code","Title","ParentDimension","Dimension","ParentCode","ParentTitle"
"ABW","Aruba","REGION","COUNTRY","AMR","Americas"
"AFG","Afghanistan","REGION","COUNTRY","EMR","Eastern Mediterranean"
"AGO","Angola","REGION","COUNTRY","AFR","Africa"
"AIA","Anguilla","REGION","COUNTRY","AMR","Americas"
"ALB","Albania","REGION","COUNTRY","EUR","Europe"
"AND","Andorra","REGION","COUNTRY","EUR","Europe"
"ANT530","SPATIAL_SYNONYM","REGION","COUNTRY","AMR","Americas"
"ANT532","SPATIAL_SYNONYM","REGION","COUNTRY","AMR","Americas"
"ARE","United Arab Emirates","REGION","COUNTRY","EMR","Eastern Mediterranean"
"ARG","Argentina","REGION","COUNTRY","AMR","Americas"
"ARM","Armenia","REGION","COUNTRY","EUR","Europe"
"ASM","American Samoa","REGION","COUNTRY","WPR","Western Pacific"
"ATG","Antigua and Barbuda","REGION","COUNTRY","AMR","Americas"
"AUS","Australia","REGION","COUNTRY","WPR","Western Pacific"
"AUT","Austria","REGION","COUNTRY","EUR","Europe"
"AZE","Azerbaijan","REGION","COUNTRY","EUR","Europe"
"BDI","Burundi","REGION","COUNTRY","AFR","Africa"
"BEL","Belgium","REGION","COUNTRY","EUR","Europe"
"BEN","Benin","REGION","COUNTRY","AFR","Africa"
"BFA","Burkina Faso","REGION","COUNTRY","AFR","Africa"
"BGD","Bangladesh","REGION","COUNTRY","SEAR","South-East Asia"
"BGR","Bulgaria","REGION","COUNTRY","EUR","Europe"
"BHR","Bahrain","REGION","COUNTRY","EMR","Eastern Mediterranean"
"BHS","Bahamas","REGION","COUNTRY","AMR","Americas"
"BIH","Bosnia and Herzegovina","REGION","COUNTRY","EUR","Europe"
"BLR","Belarus","REGION","COUNTRY","EUR","Europe"
"BLZ","Belize","REGION","COUNTRY","AMR","Americas"
"BMU","Bermuda","REGION","COUNTRY","AMR","Americas"
"BOL","Bolivia (Plurinational State of)","REGION","COUNTRY","AMR","Americas"
"BRA","Brazil","REGION","COUNTRY","AMR","Americas"
"BRB","Barbados","REGION","COUNTRY","AMR","Americas"
"BRN","Brunei Darussalam","REGION","COUNTRY","WPR","Western Pacific"
"BTN","Bhutan","REGION","COUNTRY","SEAR","South-East Asia"
"BWA","Botswana","REGION","COUNTRY","AFR","Africa"
"CAF","Central African Republic","REGION","COUNTRY","AFR","Africa"
"CAN","Canada","REGION","COUNTRY","AMR","Americas"
"CHE","Switzerland","REGION","COUNTRY","EUR","Europe"
"CHI","Channel islands",NA,"COUNTRY",NA,NA
"CHL","Chile","REGION","COUNTRY","AMR","Americas"
"CHN","China","REGION","COUNTRY","WPR","Western Pacific"
"CIV","Côte d'Ivoire","REGION","COUNTRY","AFR","Africa"
"CMR","Cameroon","REGION","COUNTRY","AFR","Africa"
"COD","Democratic Republic of the Congo","REGION","COUNTRY","AFR","Africa"
"COG","Congo","REGION","COUNTRY","AFR","Africa"
"COK","Cook Islands","REGION","COUNTRY","WPR","Western Pacific"
"COL","Colombia","REGION","COUNTRY","AMR","Americas"
"COM","Comoros","REGION","COUNTRY","AFR","Africa"
"CPV","Cabo Verde","REGION","COUNTRY","AFR","Africa"
"CRI","Costa Rica","REGION","COUNTRY","AMR","Americas"
"CSK200","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"CUB","Cuba","REGION","COUNTRY","AMR","Americas"
"CUW","Curaçao","REGION","COUNTRY","AMR","Americas"
"CYM","Cayman Islands","REGION","COUNTRY","AMR","Americas"
"CYP","Cyprus","REGION","COUNTRY","EUR","Europe"
"CZE","Czechia","REGION","COUNTRY","EUR","Europe"
"DDR278","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"DEU","Germany","REGION","COUNTRY","EUR","Europe"
"DEU280","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"DEU284","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"DJI","Djibouti","REGION","COUNTRY","EMR","Eastern Mediterranean"
"DMA","Dominica","REGION","COUNTRY","AMR","Americas"
"DNK","Denmark","REGION","COUNTRY","EUR","Europe"
"DOM","Dominican Republic","REGION","COUNTRY","AMR","Americas"
"DZA","Algeria","REGION","COUNTRY","AFR","Africa"
"ECU","Ecuador","REGION","COUNTRY","AMR","Americas"
"EGY","Egypt","REGION","COUNTRY","EMR","Eastern Mediterranean"
"ERI","Eritrea","REGION","COUNTRY","AFR","Africa"
"ESP","Spain","REGION","COUNTRY","EUR","Europe"
"EST","Estonia","REGION","COUNTRY","EUR","Europe"
"ETH","Ethiopia","REGION","COUNTRY","AFR","Africa"
"FIN","Finland","REGION","COUNTRY","EUR","Europe"
"FJI","Fiji","REGION","COUNTRY","WPR","Western Pacific"
"FLK","Falkland Islands (Malvinas)","REGION","COUNTRY","AMR","Americas"
"FRA","France","REGION","COUNTRY","EUR","Europe"
"FRO","Faroe Islands","REGION","COUNTRY","EUR","Europe"
"FSM","Micronesia (Federated States of)","REGION","COUNTRY","WPR","Western Pacific"
"GAB","Gabon","REGION","COUNTRY","AFR","Africa"
"GBR","United Kingdom of Great Britain and Northern Ireland","REGION","COUNTRY","EUR","Europe"
"GEO","Georgia","REGION","COUNTRY","EUR","Europe"
"GHA","Ghana","REGION","COUNTRY","AFR","Africa"
"GIB","Gibraltar","REGION","COUNTRY","EUR","Europe"
"GIN","Guinea","REGION","COUNTRY","AFR","Africa"
"GLP","Guadeloupe","REGION","COUNTRY","AMR","Americas"
"GLP312","SPATIAL_SYNONYM","REGION","COUNTRY","AMR","Americas"
"GMB","Gambia","REGION","COUNTRY","AFR","Africa"
"GNB","Guinea-Bissau","REGION","COUNTRY","AFR","Africa"
"GNQ","Equatorial Guinea","REGION","COUNTRY","AFR","Africa"
"GRC","Greece","REGION","COUNTRY","EUR","Europe"
"GRD","Grenada","REGION","COUNTRY","AMR","Americas"
"GRL","Greenland","REGION","COUNTRY","EUR","Europe"
"GTM","Guatemala","REGION","COUNTRY","AMR","Americas"
"GUF","French Guiana","REGION","COUNTRY","AMR","Americas"
"GUM","Guam","REGION","COUNTRY","WPR","Western Pacific"
"GUY","Guyana","REGION","COUNTRY","AMR","Americas"
"HKG","China, Hong Kong Special Administrative Region",NA,"COUNTRY",NA,NA
"HND","Honduras","REGION","COUNTRY","AMR","Americas"
"HRV","Croatia","REGION","COUNTRY","EUR","Europe"
"HTI","Haiti","REGION","COUNTRY","AMR","Americas"
"HUN","Hungary","REGION","COUNTRY","EUR","Europe"
"IDN","Indonesia","REGION","COUNTRY","SEAR","South-East Asia"
"IMN","Isle of Man","REGION","COUNTRY","EUR","Europe"
"IND","India","REGION","COUNTRY","SEAR","South-East Asia"
"IND975","SPATIAL_SYNONYM","REGION","COUNTRY","SEAR","South-East Asia"
"IRL","Ireland","REGION","COUNTRY","EUR","Europe"
"IRN","Iran (Islamic Republic of)","REGION","COUNTRY","EMR","Eastern Mediterranean"
"IRQ","Iraq","REGION","COUNTRY","EMR","Eastern Mediterranean"
"ISL","Iceland","REGION","COUNTRY","EUR","Europe"
"ISR","Israel","REGION","COUNTRY","EUR","Europe"
"ITA","Italy","REGION","COUNTRY","EUR","Europe"
"JAM","Jamaica","REGION","COUNTRY","AMR","Americas"
"JOR","Jordan","REGION","COUNTRY","EMR","Eastern Mediterranean"
"JPN","Japan","REGION","COUNTRY","WPR","Western Pacific"
"KAZ","Kazakhstan","REGION","COUNTRY","EUR","Europe"
"KEN","Kenya","REGION","COUNTRY","AFR","Africa"
"KGZ","Kyrgyzstan","REGION","COUNTRY","EUR","Europe"
"KHM","Cambodia","REGION","COUNTRY","WPR","Western Pacific"
"KIR","Kiribati","REGION","COUNTRY","WPR","Western Pacific"
"KIR984","SPATIAL_SYNONYM","REGION","COUNTRY","WPR","Western Pacific"
"KNA","Saint Kitts and Nevis","REGION","COUNTRY","AMR","Americas"
"KOR","Republic of Korea","REGION","COUNTRY","WPR","Western Pacific"
"KWT","Kuwait","REGION","COUNTRY","EMR","Eastern Mediterranean"
"LAO","Lao People's Democratic Republic","REGION","COUNTRY","WPR","Western Pacific"
"LBN","Lebanon","REGION","COUNTRY","EMR","Eastern Mediterranean"
"LBR","Liberia","REGION","COUNTRY","AFR","Africa"
"LBY","Libya","REGION","COUNTRY","EMR","Eastern Mediterranean"
"LCA","Saint Lucia","REGION","COUNTRY","AMR","Americas"
"LIE","Liechtenstein","REGION","COUNTRY","EUR","Europe"
"LKA","Sri Lanka","REGION","COUNTRY","SEAR","South-East Asia"
"LSO","Lesotho","REGION","COUNTRY","AFR","Africa"
"LTU","Lithuania","REGION","COUNTRY","EUR","Europe"
"LUX","Luxembourg","REGION","COUNTRY","EUR","Europe"
"LVA","Latvia","REGION","COUNTRY","EUR","Europe"
"MAC","China, Macao Special Administrative Region",NA,"COUNTRY",NA,NA
"MAR","Morocco","REGION","COUNTRY","EMR","Eastern Mediterranean"
"MCO","Monaco","REGION","COUNTRY","EUR","Europe"
"MDA","Republic of Moldova","REGION","COUNTRY","EUR","Europe"
"MDG","Madagascar","REGION","COUNTRY","AFR","Africa"
"MDV","Maldives","REGION","COUNTRY","SEAR","South-East Asia"
"ME1","The former state union Serbia and Montenegro",NA,"COUNTRY",NA,NA
"MEX","Mexico","REGION","COUNTRY","AMR","Americas"
"MHL","Marshall Islands","REGION","COUNTRY","WPR","Western Pacific"
"MKD","North Macedonia","REGION","COUNTRY","EUR","Europe"
"MLI","Mali","REGION","COUNTRY","AFR","Africa"
"MLT","Malta","REGION","COUNTRY","EUR","Europe"
"MMR","Myanmar","REGION","COUNTRY","SEAR","South-East Asia"
"MNE","Montenegro","REGION","COUNTRY","EUR","Europe"
"MNG","Mongolia","REGION","COUNTRY","WPR","Western Pacific"
"MNP","Northern Mariana Islands","REGION","COUNTRY","WPR","Western Pacific"
"MOZ","Mozambique","REGION","COUNTRY","AFR","Africa"
"MRT","Mauritania","REGION","COUNTRY","AFR","Africa"
"MTQ","Martinique","REGION","COUNTRY","AMR","Americas"
"MUS","Mauritius","REGION","COUNTRY","AFR","Africa"
"MWI","Malawi","REGION","COUNTRY","AFR","Africa"
"MYS","Malaysia","REGION","COUNTRY","WPR","Western Pacific"
"MYT","Mayotte","REGION","COUNTRY","AFR","Africa"
"NAM","Namibia","REGION","COUNTRY","AFR","Africa"
"NCL","New Caledonia","REGION","COUNTRY","WPR","Western Pacific"
"NER","Niger","REGION","COUNTRY","AFR","Africa"
"NGA","Nigeria","REGION","COUNTRY","AFR","Africa"
"NIC","Nicaragua","REGION","COUNTRY","AMR","Americas"
"NIU","Niue","REGION","COUNTRY","WPR","Western Pacific"
"NLD","Netherlands","REGION","COUNTRY","EUR","Europe"
"NOR","Norway","REGION","COUNTRY","EUR","Europe"
"NPL","Nepal","REGION","COUNTRY","SEAR","South-East Asia"
"NRU","Nauru","REGION","COUNTRY","WPR","Western Pacific"
"NZL","New Zealand","REGION","COUNTRY","WPR","Western Pacific"
"OMN","Oman","REGION","COUNTRY","EMR","Eastern Mediterranean"
"PAK","Pakistan","REGION","COUNTRY","EMR","Eastern Mediterranean"
"PAN","Panama","REGION","COUNTRY","AMR","Americas"
"PER","Peru","REGION","COUNTRY","AMR","Americas"
"PHL","Philippines","REGION","COUNTRY","WPR","Western Pacific"
"PLW","Palau","REGION","COUNTRY","WPR","Western Pacific"
"PNG","Papua New Guinea","REGION","COUNTRY","WPR","Western Pacific"
"POL","Poland","REGION","COUNTRY","EUR","Europe"
"PRI","Puerto Rico","REGION","COUNTRY","AMR","Americas"
"PRK","Democratic People's Republic of Korea","REGION","COUNTRY","SEAR","South-East Asia"
"PRT","Portugal","REGION","COUNTRY","EUR","Europe"
"PRY","Paraguay","REGION","COUNTRY","AMR","Americas"
"PSE","occupied Palestinian territory, including east Jerusalem","REGION","COUNTRY","EMR","Eastern Mediterranean"
"PYF","French Polynesia","REGION","COUNTRY","WPR","Western Pacific"
"QAT","Qatar","REGION","COUNTRY","EMR","Eastern Mediterranean"
"REU","Reunion","REGION","COUNTRY","AFR","Africa"
"ROU","Romania","REGION","COUNTRY","EUR","Europe"
"RUS","Russian Federation","REGION","COUNTRY","EUR","Europe"
"RWA","Rwanda","REGION","COUNTRY","AFR","Africa"
"SAU","Saudi Arabia","REGION","COUNTRY","EMR","Eastern Mediterranean"
"SCG891","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"SDF","Sudan (former)",NA,"COUNTRY",NA,NA
"SDN","Sudan","REGION","COUNTRY","EMR","Eastern Mediterranean"
"SDN736","SPATIAL_SYNONYM","REGION","COUNTRY","EMR","Eastern Mediterranean"
"SEN","Senegal","REGION","COUNTRY","AFR","Africa"
"SGP","Singapore","REGION","COUNTRY","WPR","Western Pacific"
"SHN","Saint Helena","REGION","COUNTRY","AFR","Africa"
"SLB","Solomon Islands","REGION","COUNTRY","WPR","Western Pacific"
"SLE","Sierra Leone","REGION","COUNTRY","AFR","Africa"
"SLV","El Salvador","REGION","COUNTRY","AMR","Americas"
"SMR","San Marino","REGION","COUNTRY","EUR","Europe"
"SOM","Somalia","REGION","COUNTRY","EMR","Eastern Mediterranean"
"SPM","Saint Pierre and Miquelon","REGION","COUNTRY","AMR","Americas"
"SRB","Serbia","REGION","COUNTRY","EUR","Europe"
"SSD","South Sudan","REGION","COUNTRY","AFR","Africa"
"STP","Sao Tome and Principe","REGION","COUNTRY","AFR","Africa"
"SUN810","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"SUR","Suriname","REGION","COUNTRY","AMR","Americas"
"SVK","Slovakia","REGION","COUNTRY","EUR","Europe"
"SVN","Slovenia","REGION","COUNTRY","EUR","Europe"
"SWE","Sweden","REGION","COUNTRY","EUR","Europe"
"SWZ","Eswatini","REGION","COUNTRY","AFR","Africa"
"SXM","Sint Maarten (Dutch part)","REGION","COUNTRY","AMR","Americas"
"SYC","Seychelles","REGION","COUNTRY","AFR","Africa"
"SYR","Syrian Arab Republic","REGION","COUNTRY","EMR","Eastern Mediterranean"
"TCA","Turks and Caicos Islands","REGION","COUNTRY","AMR","Americas"
"TCD","Chad","REGION","COUNTRY","AFR","Africa"
"TGO","Togo","REGION","COUNTRY","AFR","Africa"
"THA","Thailand","REGION","COUNTRY","SEAR","South-East Asia"
"TJK","Tajikistan","REGION","COUNTRY","EUR","Europe"
"TKL","Tokelau","REGION","COUNTRY","WPR","Western Pacific"
"TKM","Turkmenistan","REGION","COUNTRY","EUR","Europe"
"TLS","Timor-Leste","REGION","COUNTRY","SEAR","South-East Asia"
"TON","Tonga","REGION","COUNTRY","WPR","Western Pacific"
"TTO","Trinidad and Tobago","REGION","COUNTRY","AMR","Americas"
"TUN","Tunisia","REGION","COUNTRY","EMR","Eastern Mediterranean"
"TUR","Türkiye","REGION","COUNTRY","EUR","Europe"
"TUV","Tuvalu","REGION","COUNTRY","WPR","Western Pacific"
"TZA","United Republic of Tanzania","REGION","COUNTRY","AFR","Africa"
"UGA","Uganda","REGION","COUNTRY","AFR","Africa"
"UKR","Ukraine","REGION","COUNTRY","EUR","Europe"
"URY","Uruguay","REGION","COUNTRY","AMR","Americas"
"USA","United States of America","REGION","COUNTRY","AMR","Americas"
"UZB","Uzbekistan","REGION","COUNTRY","EUR","Europe"
"VCT","Saint Vincent and the Grenadines","REGION","COUNTRY","AMR","Americas"
"VEN","Venezuela (Bolivarian Republic of)","REGION","COUNTRY","AMR","Americas"
"VGB","British Virgin Islands","REGION","COUNTRY","AMR","Americas"
"VIR","Virgin Islands (USA)","REGION","COUNTRY","AMR","Americas"
"VNM","Viet Nam","REGION","COUNTRY","WPR","Western Pacific"
"VNM977","SPATIAL_SYNONYM","REGION","COUNTRY","WPR","Western Pacific"
"VUT","Vanuatu","REGION","COUNTRY","WPR","Western Pacific"
"WSM","Samoa","REGION","COUNTRY","WPR","Western Pacific"
"YEM","Yemen","REGION","COUNTRY","EMR","Eastern Mediterranean"
"YEM886","SPATIAL_SYNONYM","REGION","COUNTRY","EMR","Eastern Mediterranean"
"YUG890","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"YUG891","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"ZAF","South Africa","REGION","COUNTRY","AFR","Africa"
"ZMB","Zambia","REGION","COUNTRY","AFR","Africa"
"ZWE","Zimbabwe","REGION","COUNTRY","AFR","Africa"
